Species Common Name,Issue date,Date caught,Location caught,Island,Cardinal Direction,Island Sector
Etelis Boweni,July 2021,n/a,n/a,n/a,n/a,n/a
Bigfin Squid,July 2021,06/15/2021,n/a,Maui,n/a,WI
Yellowtail amberjack,March 2021,n/a,n/a,n/a,n,n/a
Humpback snapper,January 2021,11/14/2020,"Kaena point, Oahu",Oahu,North,N
Yellowtail amberjack,January 2021,10/18/2020,n/a,n/a,n/a,n/a
Humpback snapper,October 2020,n/a,n/a,n/a,n/a,n/a
Yellowtail amberjack,October 2020,9/16/2020,"North shore, Oahu",Oahu,North,NW
Yellowtail amberjack,May 2020,03/20/2020,North shore oahu,Oahu,North,NW
Humpback snapper,January 2020,n/a,n/a,n/a,n/a,n/a
Knifejaw,Winter 2019-20,n/a,n/a,n/a,n/a,n/a
Yellowtail amberjack,August 2019,08/16/2019,"Waimea, Oahu",Oahu,North,NW
Yellowtail amberjack,August 2019,08/16/2019,"Waimea, Oahu",Oahu,North,NW
Black Marlin,May 2019,03/14/2019,Kona,Big island,West,W
Oriental bonito,May 2019,03/31/2019,Maui,Maui,n/a,WI
Butagachi,April 2019,04/15/2019,Honokowai,Maui,Northwest,NW
Black Marlin,March 2019,03/16/2019,Kauai,Kauai,n/a,WI
Yellowtail amberjack,August 2018,08/16/2018,n/a,Oahu,n/a,WI
Black Marlin,October 2017,n/a,n/a,n/a,n/a,n/a
Oriental bonito,Summer 2017,07/15/2017,Maui,Maui,n/a,WI
Yellowtail amberjack,June 2017,06/16/2017,"East shore, Oahu",Oahu,East,E
Hybird papio,Spring 2017,n/a,n/a,n/a,n/a,n/a
Sea bass,April 2017,01/19/1963,"Barbers point, Oahu",Oahu,South,S
Eastern pacific bonito,April 2017,n/a,n/a,n/a,n/a,n/a
Yellowtail amberjack,February 2017,01/16/2017,n/a,n/a,n/a,n/a
Oriental bonito,December 2016,12/16/2016,Off north shore of Maui,Maui,North,N
Tripletail,July 2016,04/10/2007,Kona,Big island,West,W
Whitemargin unicornfish,July 2016,07/13/2013,North Kona,Big island,North,N
Spotted knifejaw,July 2016,01/12/2015,"Hamakua, Hawaii",Big island,Northeast,NE
Yellowtail amberjack,March 2016,n/a,n/a,n/a,n/a,n/a
Spadefish,November 2015,11/15/2015,South shore of Oahu,Oahu,South,S
Knifejaw,July 2015,07/15/2015,Big island,Big Island,n/a,WI
Hybrid (maybe omilu),July 2015,n/a,n/a,n/a,n/a,n/a
Humpback snapper,July 2015,n/a,n/a,n/a,n/a,n/a
Black Marlin,June 2015,04/01/2015,Kona,Big island,West,W
Yellowtail amberjack,May 2015,03/28/2015,"North shore, Oahu",Oahu,Northwest,NW
Humpback snapper,May 2015,05/19/2015,Kauai,Kauai,WI,WI
Slender armorhead,March 2015,9/15/2014,West Niihau,Niihau,West,W
Spotted knifejaw,March 2015,1/11/2015,Laupahoehoe ,Big island,Northeast,NE
Eastern pacific bonito,February 2015,9/19/2014,Kaneohe bay,Oahu,East,E
Bluestriped chub,February 2015,10/11/2008,"Hilo breakwall, Hawaii",Big island,East,E
Black Marlin,December 2014,10/2/2014,Kona,Big island,West,W
Barnacle crab,November 2014,1/1/2014,"Kaneohe, Oahu",Oahu,East,SE
Eastern pacific bonito,November 2014,09/19/2014,"Kaneohe Bay, Oahu",Oahu,East,E
Oriental bonito,November 2014,11/15/2014,Big island,Big island,WI,WI
Butagachi,September 2014,n/a,n/a,n/a,n/a,n/a
Black Marlin,July 2014,07/15/2014,Lahaina,Maui,Northwest,NW
