Species Common Name,Issue date,Date caught,Location caught,Island,Cardinal Direction,Island Sector
Etelis Boweni,July 2021,n/a,n/a,n/a,n/a,n/a
Bigfin Squid,July 2021,07/15/2021,n/a,Maui,n/a,WI
n/a,June 2021,n/a,n/a,n/a,n/a,n/a
n/a,May 2021,n/a,n/a,n/a,n/a,n/a
n/a,April 2021,n/a,n/a,n/a,n/a,n/a
Yellowtail amberjack,March 2021,n/a,n/a,n/a,n,n/a
Shortfin ariomma,February 2021,n/a,n/a,n/a,n/a,n/a
Humpback snapper,January 2021,11/14/2020,"Kaena point, Oahu",Oahu,North,N
Yellowtail amberjack,January 2021,n/a,n/a,n/a,n/a,n/a
n/a,December 2020,n/a,n/a,n/a,n/a,n/a
n/a,November 2020,n/a,n/a,n/a,n/a,n/a
Humpback snapper,October 2020,n/a,n/a,n/a,n/a,n/a
Yellowtail amberjack,October 2020,10/16/2020,"North shore, Oahu",Oahu,North,NW
n/a,September 2020,n/a,n/a,n/a,n/a,n/a
n/a,August 2020,n/a,n/a,n/a,n/a,n/a
n/a,July 2020,n/a,n/a,n/a,n/a,n/a
n/a,June 2020,n/a,n/a,n/a,n/a,n/a
Yellowtail amberjack,May 2020,03/20/2020,North shore oahu,Oahu,North,NW
n/a,April 2020,n/a,n/a,n/a,n/a,n/a
n/a,March 2020,n/a,n/a,n/a,n/a,n/a
n/a,February 2020,n/a,n/a,n/a,n/a,n/a
Humpback snapper,January 2020,n/a,n/a,n/a,n/a,n/a
Flashing Mora,Winter 2019-20,12/16/2019,Outside Koolina,Oahu,West,W
Knifejaw,Winter 2019-20,n/a,n/a,n/a,n/a,n/a
n/a,December 2019,n/a,n/a,n/a,n/a,n/a
n/a,November 2019,n/a,n/a,n/a,n/a,n/a
n/a,October 2019,n/a,n/a,n/a,n/a,n/a
n/a,September 2019,n/a,n/a,n/a,n/a,n/a
Yellowtail amberjack,August 2019,08/16/2019,"Waimea, Oahu",Oahu,North,NW
Yellowtail amberjack,August 2019,08/16/2019,"Waimea, Oahu",Oahu,North,NW
n/a,July 2019,n/a,n/a,n/a,n/a,n/a
n/a,June 2019,n/a,n/a,n/a,n/a,n/a
Black Marlin,May 2019,03/14/2019,Kona,Big island,West,W
Hagatsuo,May 2019,03/31/2019,Maui,Maui,n/a,WI
Butagachi,April 2019,04/15/2019,Honokowai,Maui,Northwest,NW
Painted spiny lobster,April 2019,03/03/2019,Kailua-kona,Hawaii,West,W
Black Marlin,March 2019,03/16/2019,Kauai,Kauai,n/a,WI
n/a,February 2019,n/a,n/a,n/a,n/a,n/a
n/a,January 2019,n/a,n/a,n/a,n/a,n/a
n/a,Spring 2019,n/a,n/a,n/a,n/a,n/a
n/a,Winter 2019,n/a,n/a,n/a,n/a,n/a
n/a,Fall 2018,n/a,n/a,n/a,n/a,n/a
n/a,Spring 2018,n/a,n/a,n/a,n/a,n/a
Iniistius pavo,Winter 2017-18,n/a,n/a,n/a,n/a,n/a
Sarda Orientalis,Summer 2017,07/15/2017,Maui,Maui,n/a,WI
Hybird papio,Spring 2017,n/a,n/a,n/a,n/a,n/a
Kagami ulua,December 2016,12/16/2016,Big island,Big island,n/a,WI
