Species Common Name,Issue date,Date caught,Location caught,Island,Cardinal Direction,Island Sector
Hagatsuo,December 2016,12/16/2016,Off north shore of Maui,Maui,North,N
Blue marlin,December 2016,12/16/2016,Off of Molokai,Molokai,n/a,WI
Monchong (lowfin promfet),July 2016,07/15/2016,"Wailoa River, Hilo",Big Island,East,E
Yellowtail amberjack,March 2016,n/a,n/a,n/a,n/a,n/a
Oio,November 2015,11/15/2015,"South side, Oahu",Oahu,South,S
Fanfish ,November 2015,n/a,n/a,n/a,n/a,n/a
Spadefish,November 2015,11/15/2015,South shore of Oahu,Oahu,South,S
Hybrid (maybe omilu),July 2015,n/a,n/a,n/a,n/a,n/a
Humpback snapper,July 2015,n/a,n/a,n/a,n/a,n/a
Kawakawa,March 2015,03/16/2015,Molokai,Molokai,n/a,WI
Barnacle crab,November 2014,1/1/2014,"Kaneohe, Oahu",Oahu,East,SE
Butagachi,September 2014,n/a,n/a,n/a,n/a,n/a
Elegant Anthias,September 2014,n/a,n/a,n/a,n/a,n/a
Diamondback Squid,September 2014,n/a,n/a,n/a,n/a,n/a
Flying gurnard,February 2014,n/a,n/a,n/a,n/a,n/a
Black margin Conger,February 2014,n/a,n/a,n/a,n/a,n/a
Kagami Papio,August 2013,n/a,n/a,n/a,n/a,n/a
Threadfin perchlet,August 2013,08/16/2013,"Kaena point, oahu",Oahu,West,NW
Green jack,May 2013,05/19/2013,"Off Haleiwa, Oahu",Oahu,North,NW
Goldflag snapper,May 2013,05/19/2013,Penguin banks,Molokai,Southwest,SW
Hybrid fish: cross between Opakapaka and Lehi ,May 2013,01/11/2010,n/a,n/a,n/a,n/a
Ahi,January 2013,01/15/2013,Off Waianae,Oahu,West,W
Octopus,January 2013,01/15/2013,Kaneohe Bay,Oahu,East,E
n/a,September 2012,n/a,n/a,n/a,n/a,
Green jack,June 2012,3/27/2012,off Hawaii Kai,Oahu,East,SE
Mirror Dory,June 2012,06/16/2012,"off Molokai, 130 fathoms of water",Molokai,n/a,WI
Mantis shrimp,February 2012,n/a,n/a,n/a,n/a,n/a
Kagami ulua,February 2012,02/14/2012,"North shore, Oahu",Oahu,North,NW
Freckle driftfish,August 2011,08/16/2011,"Off ewa beach, Oahu",Oahu,South,S
Giant squid,August 2011,08/16/2011,Mokuleia,Oahu,Northwest,NW
Unknown species,August 2011,n/a,n/a,n/a,n/a,n/a
Helmet Gurnard ,February 2011,11/15/2010,n/a,n/a,n/a,n/a
Sling jaw,July 2010,07/15/2010,Kaneohe Bay,Oahu,East,E
G.T. (giant trevally),March 2010,n/a,n/a,n/a,n/a,n/a
Ulua,March 2010,03/16/2010,South Kona?,Big island,South,S
Ono,February 2010,n/a,n/a,n/a,n/a,n/a
Ulua,February 2010,"11/26/08, 9/21/09","Kualoa beach park, east kaunakakai",Molokai,South,S
Marlin,February 2010,n/a,n/a,n/a,n/a,n/a
Kagami ulua,November 2009,11/15/2009,"Waialua, Oahu",Oahu,Northwest,NW
Kagami ulua,November 2009,08/01/2009,"West side, Kauai",Kauai,West,W
Mahimahi,October 2009,08/15/2009,n/a,n/a,n/a,n/a
Kagami ulua,September 2009,n/a,n/a,n/a,n/a,n/a
Golden trevally,September 2009,09/15/2009,He'eia Kea pier,Oahu,East,E
Kagami ulua,September 2009,n/a,n/a,n/a,n/a,n/a
Shortbill spearfish,August 2009,n/a,n/a,n/a,n/a,n/a
Black menpachi,August 2009,n/a,n/a,n/a,n/a,n/a
Alfonsin,August 2009,n/a,n/a,n/a,n/a,n/a
Rainbow runner,August 2009,05/30/2009,n/a,n/a,n/a,n/a
Two tailed palani,July 2009,05/16/2009,n/a,n/a,n/a,n/a
Mystery ulua,July 2009,06/29/2009,"Portlock, Oahu",Oahu,South,S
Moi,July 2009,n/a,n/a,n/a,n/a,n/a
Ulua,July 2009,06/25/2009,"West side, Oahu",Oahu,West,W
Omilu,July 2009,03/29/2009,Three poles (Old Buoy 12),n/a,n/a,
Box crab,July 2009,n/a,n/a,n/a,n/a,n/a
Mirror Dory,July 2009,n/a,n/a,n/a,n/a,n/a
Elegant anthias,July 2009,n/a,n/a,n/a,n/a,n/a
Deepbody boarfish,July 2009,n/a,n/a,n/a,n/a,n/a
Kagami ulua,June 2009,n/a,n/a,n/a,n/a,n/a
Broadbill swordfish,June 2009,n/a,n/a,n/a,n/a,n/a
Megamouth shark,June 2009,11/15/1976,"Kaneohe, Oahu",Oahu,East,SE
Sailfish,June 2009,n/a,n/a,n/a,n/a,n/a
Kagami ulua,May 2009,02/16/2009,n/a,Oahu,n/a,WI
Hawaiian Bristletooth,April 2009,04/15/2009,Honokohau,Big island,West,W
Goldflag snapper,April 2009,04/15/2009,Penguin Bank,Molokai,Southwest,SW
Broadbill swordfish,April 2009,04/15/2009,"Kona, Hawaii",Big island,West,W
Goldflag snapper,April 2009,04/15/2009,Penguin Bank,Molokai,Southwest,SW
Herring,April 2009,04/15/2009,Kaneohe Bay,Oahu,East,E
Puhi eel,April 2009,04/15/2009,"Pawai, Big Island",Big island,West,W
Yellow spot papio,March 2009,03/16/2009,"Paia, Maui",Maui,North,N
To'au,March 2009,1/1/2009,"Po'ohiki, Big Island",Big island,Southeast,SE
Giant needlefish,February 2009,8/1/2008,"Off North shore, Kaua'i",Kauai,North,N
Hinalea (green wrasse),February 2009,11/24/2008,Waimea,Oahu,North,NW
Rainbow runner,February 2009,02/16/2009,Off Mahukona,Big island,North,N
Kawakawa,January 2009,4/1/2008,n/a,n/a,n/a,n/a
Bigeye ulua,January 2009,01/15/2009,Off Kaena Point,Oahu,West,W
Tripletail,January 2009,01/15/2009,Off Kona,Big island,West,W
Evermann's nomeid,January 2009,01/15/2009,Off Oahu,Oahu,n/a,WI
Thresher shark,January 2009,01/15/2009,Off kona,Big island,West,W
Lowfin chub,January 2009,01/15/2009,South shore Oahu,Oahu,South,S
Bluestriped chub,January 2009,n/a,n/a,n/a,n/a,
Helmet Gurnard ,January 2009,01/15/2009,"outside Portlock, Oahu",Oahu,Southeast,SE
n/a,January 2009,n/a,n/a,n/a,n/a,
Kagami ulua,December 2008,12/16/2008,Mokuleia,Oahu,North,NE
Black marlin,December 2008,10/01/2009,"Kona, Hawaii",Big island,West,W
Black marlin,November 2008,09/05/2008,Honokohau harbor,Big island,West,W
Kagami ulua,October 2008,n/a,n/a,n/a,n/a,n/a
n/a,September 2008,n/a,n/a,n/a,n/a,n/a
Kagami ulua,September 2008,06/28/2008,n/a,n/a,n/a,n/a
Kagami ulua,September 2008,08/08/2008,n/a,n/a,n/a,n/a
Kagami ulua,August 2008,01/01/2008,"North shore, Oahu",Oahu,Northwest,NW
Kagami ulua,August 2008,01/01/2008,"North shore, Oahu",Oahu,North,NW
Palani,August 2008,08/16/2008,"Hilo, Hawaii",Big island,East,E
n/a,July 2008,n/a,n/a,n/a,n/a,n/a
n/a,June 2008,n/a,n/a,n/a,n/a,n/a
n/a,June 2008,n/a,n/a,n/a,n/a,n/a
Thresher shark,May 2008,03/30/2007,Honokohau harbor,Big island,West,W
Kagami ulua,April 2008,04/15/2008,Kihei Maui reef,Maui,South,S
Yellow anthias,March 2008,03/16/2008,Kaena Point,Oahu,North,N
n/a,February 2008,n/a,n/a,n/a,n/a,n/a
Deepbody boarfish,January 2008,01/16/2008,n/a,Kauai,n/a,WI
Butagachi,January 2008,n/a,n/a,n/a,n/a,n/a
Black Marlin,January 2008,11/17/2007,Sampan channel,Oahu,East,E
n/a,December 2007,n/a,n/a,n/a,n/a,n/a
n/a,November 2007,n/a,n/a,n/a,n/a,n/a
Tripletail,October 2007,10/16/2007,"Kona, Hawaii",Big island,West,W
n/a,September 2007,n/a,n/a,n/a,n/a,n/a
Kagami ulua,August 2007,n/a,n/a,n/a,n/a,n/a
n/a,July 2007,n/a,n/a,n/a,n/a,n/a
Hybrid trevally,June 2007,12/01/1987,Line islands,n/a,n/a,n/a
Kagami ulua,May 2007,n/a,n/a,n/a,n/a,n/a
n/a,April 2007,n/a,n/a,n/a,n/a,n/a
Kagami ulua,March 2007,n/a,n/a,n/a,n/a,n/a
Oilfish,March 2007,12/30/2006,n/a,n/a,n/a,n/a
Kagami ulua,February 2007,11/18/2006,n/a,Oahu,n/a,WI
Kagami ulua,February 2007,11/18/2006,n/a,Oahu,n/a,WI
Knifejaw,January 2007,11/19/2006,n/a,n/a,n/a,n/a
Whitefin trevally,January 2007,01/15/2007,Haleiwa,Oahu,North,NW
Bluestriped chub,January 2007,04/23/2006,"Black point, Kohala",Big island,North,N
Monchong (lowfin promfet),January 2007,02/28/2006,"Kona, Hawaii",Big island,West,W
Golden kalekale,January 2007,11/26/2006,"Waianae, Oahu",Oahu,West,W
Tripletail,January 2007,01/30/2006,Barbers point,Oahu,South,S
Whitemargin unicornfish,January 2007,06/11/2006,"South point, Niihau",Niihau,South,S
n/a,December 2006,n/a,n/a,n/a,n/a,n/a
n/a,November 2006,n/a,n/a,n/a,n/a,n/a
n/a,October 2006,n/a,n/a,n/a,n/a,n/a
Broomfish,September 2006,06/10/2006,Keaukaha shoreline,Big island,East,E
Seahorse,June 2006,06/16/2006,Hawaii kai,Oahu,East,E
Kagami ulua,June 2006,n/a,n/a,n/a,n/a,n/a
n/a,May 2006,n/a,n/a,n/a,n/a,n/a
MISSING,December 2004,MISSING,MISSING,MISSING,MISSING,MISSING
n/a,November 2004,n/a,n/a,n/a,n/a,n/a
Kagami ulua,October 2004,08/18/2004,Moi hole,Oahu,North,N
Kagami ulua,October 2004,08/18/2004,Moi hole,Oahu,North,N
Kagami ulua,September 2004,07/23/2004,Waianae coast,Oahu,West,W
Kagami ulua,September 2004,07/23/2004,Waianae coast,Oahu,West,W
Unknown billfish,August 2004,08/16/2004,BO buoy oahu,Oahu,South,S
MISSING,July 2004,MISSING,MISSING,MISSING,MISSING,MISSING
Oilfish,June 2004,12/01/2003,"South point, Big island",Big island,South,S
Yellowstriped wrasse,June 2004,06/16/2004,Kaneohe,Oahu,East,SE
Kagami ulua,June 2004,06/16/2004,East Oahu,Oahu,East,E
Highfin chub,May 2004,02/27/2004,Hamakua coast,Big island,Northeast,NE
Lowfin chub,May 2004,11/15/2003,Makua cave,Oahu,West,W
MISSING,April 2004,MISSING,MISSING,MISSING,MISSING,MISSING
n/a,March 2004,n/a,n/a,n/a,n/a,n/a
MISSING,February 2004,MISSING,MISSING,MISSING,MISSING,MISSING
n/a,January 2004,n/a,n/a,n/a,n/a,n/a
Finescale triggerfish,December 2003,09/01/2002,Puako,Big island,Northwest,NW
Porcupine fish,December 2003,01/24/2003,Kailua Kona,Big island,West,W
Sidespot goatfish,December 2003,01/14/2003,"Hana, maui",Maui,East,E
Spectacled parrotfish,December 2003,01/19/2003,"Kaneohe bay, Oahu",Oahu,East,E
Yellowfin surgeonfish,December 2003,05/25/2003,Mokuleia,Oahu,North,NW
Unicolor grouper,December 2003,04/26/2003,Kohala coast,Big island,North,N
Pearl wrasse,December 2003,06/24/2003,Lanikai bay,Oahu,East,E
Stareye parrotfish,December 2003,09/16/2001,Puuika ,Oahu,North,N
Flowery flounder,December 2003,07/24/2003,Hawaii kai,Oahu,East,E
Black papio,December 2003,10/5/2003,Kohala coast,Big island,North,N
Mantis shrimp,December 2003,10/11/2002,Ala wai canal,Oahu,South,S
Black Marlin,November 2003,09/11/2003,Kona,Big island,West,W
Kagami ulua,October 2003,07/12/2003,n/a,n/a,n/a,n/a
Kagami ulua,October 2003,07/12/2003,n/a,n/a,n/a,n/a
Giant needlefish,September 2003,07/01/2003,Haena,Kauai,North,N
n/a,July 2003,n/a,n/a,n/a,n/a,n/a
Kagami ulua,June 2003,05/03/2003,n/a,n/a,n/a,n/a
Kagami ulua,May 2003,03/28/2003,n/a,n/a,n/a,n/a
n/a,April 2003,n/a,n/a,n/a,n/a,n/a
n/a,March 2003,n/a,n/a,n/a,n/a,n/a
Porcupine fish,February 2003,12/09/2003,Hamakua coast,Big island,Northeast,NE
Flounder,January 2003,n/a,n/a,n/a,n/a,n/a
Finescale triggerfish,January 2003,05/29/2002,Penguin banks,Molokai,Southwest,SW
Knifejaw,January 2003,11/09/2002,Niihau,n/a,n/a,n/a
Schlegal's grouper,January 2003,09/01/2002,Lanai,Lanai,n/a,WI
Oilfish,December 2002,05/01/2002,n/a,n/a,n/a,n/a
Black Marlin,December 2002,10/01/2002,Kona,Big island,West,W
Emperor red snapper,December 2002,03/01/2002,Haleiwa,Oahu,North,N
Kagami ulua,November 2002,11/15/2002,"North shore, Oahu",Oahu,Northwest,NW
Tiger shark,November 2002,08/20/2002,"Kona, Hawaii",Big island,West,W
n/a,October 2002,n/a,n/a,n/a,n/a,n/a
Broadbill swordfish,September 2002,07/07/2002,"Kona, Hawaii",Big island,West,W
Broadbill swordfish,September 2002,07/03/2002,"Kona, Hawaii",Big island,West,W
Broadbill swordfish,September 2002,07/03/2002,"Kona, Hawaii",Big island,West,W
Knifejaw,August 2002,n/a,n/a,n/a,n/a,n/a
Knifejaw,August 2002,n/a,n/a,n/a,n/a,n/a
Kagami ulua,August 2002,n/a,n/a,n/a,n/a,n/a
Broadbill swordfish,August 2002,06/30/2002,"Kona, Hawaii",Big island,West,W
Broadbill swordfish,August 2002,06/19/2002,"Kona, Hawaii",Big island,West,W
Broadbill swordfish,August 2002,06/19/2002,"Kona, Hawaii",Big island,West,W
Broadbill swordfish,August 2002,06/22/2002,"Kona, Hawaii",Big island,West,W
Black Marlin,August 2002,08/16/2002,"Kona, Hawaii",Big island,West,W
Broadbill swordfish,August 2002,08/16/2002,"Kona, Hawaii",Big island,West,W
n/a,July 2002,07/15/2002,n/a,n/a,n/a,n/a
Kagami ulua,June 2002,4/7/2002,West side oahu,Oahu,West,W
Broadbill swordfish,May 2002,3/3/2002,"Kona, Hawaii",Big island,West,W
Stareye parrotfish,May 2002,1/10/2002,Aina haina,Oahu,Southeast,SE
Mantis shrimp,May 2002,11/30/2001,Hawaii kai,Oahu,East,E
Porcupine fish,May 2002,01/12/2002,Pohoiki,Big island,Southeast,SE
Butagachi,May 2002,12/6/2000,Ka'ula rock,Kaula,n/a,WI
Green jack,May 2002,05/19/2002,Hilo bay,Big island,East,E
Green jack,May 2002,02/05/2002,Pearl harbor,Oahu,South,S
n/a,April 2002,n/a,n/a,n/a,n/a,n/a
Kagami ulua,March 2002,03/16/2002,Kailua bay,Oahu,East,E
n/a,February 2002,n/a,n/a,n/a,n/a,n/a
n/a,January 2002,n/a,n/a,n/a,n/a,n/a
Knifejaw,December 2001,12/16/2001,South shore kauai,Kauai,South,S
Knifejaw,December 2001,12/26/2001,South shore kauai,Kauai,South,S
Black Marlin,November 2001,09/17/2001,Maui,Maui,n/a,WI
Kagami ulua,October 2001,07/01/2001,Southeast oahu,Oahu,Southeast,SE
Mako shark,October 2001,10/16/2001,Nawiliwili harbor kauai,Kauai,Southeast,SE
Kagami ulua,October 2001,10/16/2001,West side kauai,Kauai,West,WI
Cigar wrasse,October 2001,07/29/2001,"Haleiwa, Oahu",Oahu,North,N
Spectacled parrotfish,October 2001,06/05/2000,Kaneohe bay,Oahu,East,E
Deepsea catfish,October 2001,01/11/2001,Penguin banks,Molokai,Southwest,SW
Black Marlin,September 2001,n/a,n/a,n/a,n/a,n/a
Hybrid jack,September 2001,09/15/2001,"North shore, oahu",Oahu,Northwest,NW
n/a,August 2001,n/a,n/a,n/a,n/a,n/a
Spotted duckbilled eagle ray,July 2001,n/a,n/a,n/a,n/a,n/a
Kagami ulua,June 2001,03/01/2001,South side maui,Maui,South,S
n/a,May 2001,n/a,n/a,n/a,n/a,n/a
Kagami ulua,April 2001,n/a,n/a,n/a,n/a,n/a
Kagami ulua,April 2001,n/a,n/a,n/a,n/a,n/a
n/a,March 2001,n/a,n/a,n/a,n/a,n/a
n/a,February 2001,n/a,n/a,n/a,n/a,n/a
Hogfish,January 2001,n/a,n/a,n/a,n/a,n/a
Green jack,January 2001,10/8/2000,Hilo bay,Big island,East,E
Yellowfin surgeonfish,January 2001,10/2/2000,Laie,Oahu,East,E
Ringtail wrasse,January 2001,11/13/2000,"Puna, Hawaii",Big island,East,E
Bluebone,January 2001,06/24/2000,"Hy cliff poipu, kauai",Kauai,South,S
Oilfish,January 2001,01/15/2001,Keahole Point,Big island,West,W
Kagami ulua,December 2000,n/a,n/a,n/a,n/a,n/a
Kagami ulua,December 2000,n/a,n/a,n/a,n/a,n/a
Kagami ulua,November 2000,09/04/2000,Laie bay,Oahu,East,E
Kagami ulua,October 2000,10/16/2000,Molokai,Molokai,,WI
Kagami ulua,September 2000,09/15/2000,Chuns reef,Oahu,North,NW
Black Marlin,September 2000,09/15/2000,n/a,n/a,n/a,n/a
Black durgon,September 2000,06/29/2000,Koloa boat harbor,Kauai,South,S
Spiny cowfish,September 2000,05/27/2000,Waianae,Oahu,West,W
Giant needlefish,September 2000,07/16/2000,Kaena point,Oahu,North,N
Kagami ulua,August 2000,08/16/2000,Honolulu,Oahu,South,S
Kagami ulua,July 2000,07/15/2000,Maui,Maui,n/a,WI
Kagami ulua,July 2000,05/10/2000,Molokai,Molokai,,WI
MISSING,June 2000,MISSING,MISSING,MISSING,MISSING,MISSING
n/a,May 2000,n/a,n/a,n/a,n/a,n/a
n/a,April 2000,n/a,n/a,n/a,n/a,n/a
Bluestriped chub,March 2000,01/01/2000,"barbers point, Oahu",Oahu,South,S
Blue mackerel,March 2000,03/16/2000,Penguin banks,Molokai,Southwest,SW
MISSING,February 2000,MISSING,MISSING,MISSING,MISSING,MISSING
Slipper lobster,January 2000,10/09/1999,Kailua kona,Big island,West,W
Kagami ulua,January 2000,n/a,n/a,n/a,n/a,n/a
Kagami ulua,January 2000,n/a,n/a,n/a,n/a,n/a
Kagami ulua,January 2000,n/a,n/a,n/a,n/a,n/a
Kagami ulua,December 1999,01/01/1962,Laie point,Oahu,East,E
Oilfish,November 1999,11/15/1999,South kona,Big island,South,S
Black Marlin,November 1999,07/25/1999,n/a,n/a,n/a,n/a
Broadbill swordfish,November 1999,06/13/1999,"Kona, Hawaii",Big island,West,W
Sharpheaded wrasse,November 1999,04/24/1999,"Olowalu, maui",Maui,Southwest,SW
Frogfish,November 1999,03/04/1999,"Ka'u coast, big island",Big island,Southeast,SE
Hawaiian seabass,November 1999,02/17/1999,Kaneohe,Oahu,East,SE
Black Marlin,October 1999,08/27/1999,Hawaii,n/a,n/a,n/a
MISSING,September 1999,MISSING,MISSING,MISSING,MISSING,MISSING
Broadbill swordfish,August 1999,06/11/1999,n/a,Big island,n/a,WI
Broadbill swordfish,August 1999,06/14/1999,n/a,Big island,n/a,WI
Green jack,July 1999,07/15/1999,Oahu,Oahu,n/a,WI
Kagami ulua,July 1999,02/27/1999,Waimanalo,Oahu,East,E
Uhu,July 1999,01/01/1998,"Sandy beach, Oahu",Oahu,East,SE
MISSING,June 1999,MISSING,MISSING,MISSING,MISSING,
Kagami ulua,May 1999,08/01/1998,west side Oahu,Oahu,West,W
Red opelu,May 1999,05/19/1999,la perouse area,Maui,South,S
Hawaiian grouper,April 1999,n/a,n/a,n/a,n/a,n/a
Hawaiian grouper,April 1999,n/a,n/a,n/a,n/a,n/a
MISSING,March 1999,MISSING,MISSING,MISSING,MISSING,MISSING
Kagami ulua,February 1999,n/a,n/a,n/a,n/a,n/a
Flying fish,February 1999,03/29/1998,Kona,Big island,West,W
Kagami ulua,January 1999,01/15/1999,Big island,Big island,n/a,WI
Butagachi,December 1998,12/16/1998,"Ewa beach, Oahu",Oahu,South,S
Sea bass,December 1998,01/01/1955,"Hauula, Oahu",Oahu,East,NE
n/a,November 1998,n/a,n/a,n/a,n/a,n/a
Black Marlin,October 1998,10/16/1998,"Kona, Hawaii",Big island,West,W
Longjaw squirrelfish,October 1998,10/16/1998,South shore of maui,Maui,South,S
Diamond squid,September 1998,09/04/1997,"port allen, kauai",Kauai,South,S
Flying fish,August 1998,08/16/1998,Waianae,Oahu,West,W
Black Marlin,August 1998,6/20/1998,n/a,n/a,n/a,n/a
Black Marlin,August 1998,08/16/1998,Kona,Big island,West,W
Broadbill swordfish,July 1998,5/30/1998,Honokohau ,Big island,West,W
Sunfish,July 1998,06/13/1998,"Haleiwa, Oahu",Oahu,North,N
Stonefish,June 1998,06/16/1998,"Hana, maui",Maui,East,E
Stonefish,June 1998,n/a,n/a,n/a,n/a,n/a
n/a,May 1998,n/a,n/a,n/a,n/a,n/a
Stonefish,April 1998,n/a,n/a,n/a,n/a,n/a
Snakefish,March 1998,08/23/1997,"Waimea bay, oahu",Oahu,North,N
n/a,February 1998,n/a,n/a,n/a,n/a,n/a
n/a,January 1998,n/a,n/a,n/a,n/a,n/a
Kagami ulua,December 1997,04/23/1997,"north shore, oahu",Oahu,Northwest,NW
Blue goatfish,December 1997,n/a,n/a,n/a,n/a,n/a
n/a,November 1997,n/a,n/a,n/a,n/a,n/a
Kagami ulua,October 1997,05/03/1997,n/a,n/a,n/a,n/a
Kagami ulua,October 1997,05/04/1997,n/a,n/a,n/a,n/a
Kagami ulua,October 1997,05/01/1997,"North shore, oahu",Oahu,Northwest,NW
Kagami ulua,October 1997,10/16/1997,Kapapa island,Oahu,East,E
Kagami ulua,October 1997,n/a,n/a,n/a,n/a,n/a
Kagami ulua,September 1997,09/15/1997,east side oahu,Oahu,East,E
Lizard fish,September 1997,n/a,n/a,n/a,n/a,n/a
Black Marlin,August 1997,n/a,n/a,n/a,n/a,n/a
Broadbill swordfish,August 1997,n/a,n/a,n/a,n/a,n/a
Thresher shark,August 1997,n/a,n/a,n/a,n/a,n/a
Kagami ulua,July 1997,07/15/1997,North shore,Oahu,Northwest,NW
Whitemargin unicornfish,July 1997,n/a,n/a,n/a,n/a,n/a
Hage,July 1997,01/01/1997,n/a,n/a,n/a,n/a
Sea bass,July 1997,07/15/1997,South shore Oahu,Oahu,South,S
Kagami ulua,June 1997,n/a,n/a,n/a,n/a,n/a
Kagami ulua,May 1997,n/a,n/a,n/a,n/a,n/a
Kagami ulua,May 1997,n/a,n/a,n/a,n/a,n/a
Kagami ulua,May 1997,05/19/1997,Mokuleia,Oahu,North,N
Giant needlefish,April 1997,04/15/1997,North shore maui,Maui,North,N
Lizard fish,April 1997,11/05/1995,Punaluu,Oahu,Northeast,NE
Flying fish,April 1997,10/13/1996,Kaena point,Oahu,North,N
Black Marlin,April 1997,02/21/1997,Kona,Big island,West,W
Tiger shark,April 1997,04/15/1997,Honokohau,Big island,West,W
Thresher shark,April 1997,04/15/1997,Honokohau,Big island,West,W
Broomfish,March 1997,07/15/2996,Yokohama bay,Oahu,Northwest,NW
n/a,February 1997,n/a,n/a,n/a,n/a,n/a
Kagami ulua,January 1997,08/17/1996,Waianae coast,Oahu,West,W
Kagami ulua,January 1997,n/a,n/a,Oahu,n/a,WI
Kagami ulua,January 1997,01/15/1997,Haleiwa,Oahu,North,NE
Yellowfin surgeonfish,December 1996,12/16/1996,Turtle bay,Oahu,North,N
Giant squid,December 1996,12/01/1996,Kona,Big island,West,W
Black Marlin,December 1996,12/01/1996,Kona,Big island,West,W
Kagami ulua,November 1996,06/18/1996,n/a,n/a,n/a,n/a
Kagami ulua,November 1996,07/01/1995,leeward side of oahu,Oahu,West,W
Kagami ulua,October 1996,05/05/1996,n/a,n/a,n/a,n/a
Black marlin,October 1996,08/15/1996,n/a,n/a,n/a,n/a
Broadbill swordfish,October 1996,08/14/1996,n/a,n/a,n/a,n/a
n/a,September 1996,n/a,n/a,n/a,n/a,n/a
Kagami ulua,August 1996,n/a,n/a,n/a,n/a,n/a
Slipper lobster,August 1996,08/16/1996,Honokohau harbor,Big island,West,W
Broadbill swordfish,August 1996,08/16/1996,Kona,Big island,West,W
Hammerhead Shark,July 1996,07/15/1996,Kahului,Maui,North,N
Kagami ulua,July 1996,12/25/1995,n/a,n/a,n/a,n/a
n/a,June 1996,n/a,n/a,n/a,n/a,n/a
Kagami ulua,May 1996,05/19/1996,Hilo bay,Big island,East,E
Kagami ulua,April 1996,11/16/1995,waianae coast,Oahu,West,W
MISSING,March 1996,MISSING,MISSING,MISSING,MISSING,MISSING
Channel catfish,February 1996,02/14/1996,kaneohe bay,Oahu,East,E
MISSING,January 1996,MISSING,MISSING,MISSING,MISSING,MISSING
MISSING,December 1995,MISSING,MISSING,MISSING,MISSING,MISSING
Black marlin,November 1995,09/25/1995,Honokohau harbor,Big island,West,W
MISSING,September 1995,MISSING,MISSING,MISSING,MISSING,MISSING
MISSING,August 1995,MISSING,MISSING,MISSING,MISSING,MISSING
MISSING,July 1995,MISSING,MISSING,MISSING,MISSING,MISSING
Black Marlin,June 1995,06/16/1995,J buoy ,Oahu,Northwest,NW
